0.1259 (+/-0.000) for {'classifier__C': 2.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 4.0}
0.7714 (+/-0.043) for {'classifier__C': 4.0, 'classifier__class_weight': None, 'classifier__gamma': 0.125}
0.7165 (+/-0.033) for {'classifier__C': 4.0, 'classifier__class_weight': None, 'classifier__gamma': 0.25}
0.4164 (+/-0.017) for {'classifier__C': 4.0, 'classifier__class_weight': None, 'classifier__gamma': 0.5}
0.1572 (+/-0.002) for {'classifier__C': 4.0, 'classifier__class_weight': None, 'classifier__gamma': 1.0}
0.1259 (+/-0.000) for {'classifier__C': 4.0, 'classifier__class_weight': None, 'classifier__gamma': 2.0}
0.1259 (+/-0.000) for {'classifier__C': 4.0, 'classifier__class_weight': None, 'classifier__gamma': 4.0}
0.7694 (+/-0.040) for {'classifier__C': 4.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.125}
0.7155 (+/-0.033) for {'classifier__C': 4.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.25}
0.4164 (+/-0.017) for {'classifier__C': 4.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.5}
0.1572 (+/-0.002) for {'classifier__C': 4.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0}
0.1259 (+/-0.000) for {'classifier__C': 4.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 2.0}
0.1259 (+/-0.000) for {'classifier__C': 4.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 4.0}
0.7539 (+/-0.038) for {'classifier__C': 8.0, 'classifier__class_weight': None, 'classifier__gamma': 0.125}
0.7159 (+/-0.034) for {'classifier__C': 8.0, 'classifier__class_weight': None, 'classifier__gamma': 0.25}
0.4164 (+/-0.017) for {'classifier__C': 8.0, 'classifier__class_weight': None, 'classifier__gamma': 0.5}
0.1572 (+/-0.002) for {'classifier__C': 8.0, 'classifier__class_weight': None, 'classifier__gamma': 1.0}
0.1259 (+/-0.000) for {'classifier__C': 8.0, 'classifier__class_weight': None, 'classifier__gamma': 2.0}
0.1259 (+/-0.000) for {'classifier__C': 8.0, 'classifier__class_weight': None, 'classifier__gamma': 4.0}
0.7577 (+/-0.038) for {'classifier__C': 8.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.125}
0.7159 (+/-0.034) for {'classifier__C': 8.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.25}
0.4164 (+/-0.017) for {'classifier__C': 8.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.5}
0.1572 (+/-0.002) for {'classifier__C': 8.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0}
0.1259 (+/-0.000) for {'classifier__C': 8.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 2.0}
0.1259 (+/-0.000) for {'classifier__C': 8.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 4.0}
0.7488 (+/-0.030) for {'classifier__C': 16.0, 'classifier__class_weight': None, 'classifier__gamma': 0.125}
0.7159 (+/-0.034) for {'classifier__C': 16.0, 'classifier__class_weight': None, 'classifier__gamma': 0.25}
0.4164 (+/-0.017) for {'classifier__C': 16.0, 'classifier__class_weight': None, 'classifier__gamma': 0.5}
0.1572 (+/-0.002) for {'classifier__C': 16.0, 'classifier__class_weight': None, 'classifier__gamma': 1.0}
0.1259 (+/-0.000) for {'classifier__C': 16.0, 'classifier__class_weight': None, 'classifier__gamma': 2.0}
0.1259 (+/-0.000) for {'classifier__C': 16.0, 'classifier__class_weight': None, 'classifier__gamma': 4.0}
0.7502 (+/-0.030) for {'classifier__C': 16.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.125}
0.7159 (+/-0.034) for {'classifier__C': 16.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.25}
0.4164 (+/-0.017) for {'classifier__C': 16.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.5}
0.1572 (+/-0.002) for {'classifier__C': 16.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0}
0.1259 (+/-0.000) for {'classifier__C': 16.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 2.0}
0.1259 (+/-0.000) for {'classifier__C': 16.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 4.0}

Best parameters:
{'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.125}

Best score: 0.7927
