0.8183 (+/-0.019) for {'classifier__C': 45, 'classifier__class_weight': None, 'classifier__gamma': 0.01, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.8183 (+/-0.019) for {'classifier__C': 45, 'classifier__class_weight': None, 'classifier__gamma': 0.01, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.8183 (+/-0.019) for {'classifier__C': 45, 'classifier__class_weight': None, 'classifier__gamma': 0.01, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.8190 (+/-0.019) for {'classifier__C': 45, 'classifier__class_weight': None, 'classifier__gamma': 0.01, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.8190 (+/-0.019) for {'classifier__C': 45, 'classifier__class_weight': None, 'classifier__gamma': 0.01, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.8190 (+/-0.019) for {'classifier__C': 45, 'classifier__class_weight': None, 'classifier__gamma': 0.01, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.7582 (+/-0.024) for {'classifier__C': 45, 'classifier__class_weight': None, 'classifier__gamma': 0.1, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.7582 (+/-0.024) for {'classifier__C': 45, 'classifier__class_weight': None, 'classifier__gamma': 0.1, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.7582 (+/-0.024) for {'classifier__C': 45, 'classifier__class_weight': None, 'classifier__gamma': 0.1, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.7583 (+/-0.022) for {'classifier__C': 45, 'classifier__class_weight': None, 'classifier__gamma': 0.1, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.7583 (+/-0.022) for {'classifier__C': 45, 'classifier__class_weight': None, 'classifier__gamma': 0.1, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.7583 (+/-0.022) for {'classifier__C': 45, 'classifier__class_weight': None, 'classifier__gamma': 0.1, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.7585 (+/-0.024) for {'classifier__C': 45, 'classifier__class_weight': None, 'classifier__gamma': 0.1, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.7585 (+/-0.024) for {'classifier__C': 45, 'classifier__class_weight': None, 'classifier__gamma': 0.1, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.7585 (+/-0.024) for {'classifier__C': 45, 'classifier__class_weight': None, 'classifier__gamma': 0.1, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.1603 (+/-0.005) for {'classifier__C': 45, 'classifier__class_weight': None, 'classifier__gamma': 1.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.1603 (+/-0.005) for {'classifier__C': 45, 'classifier__class_weight': None, 'classifier__gamma': 1.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.1603 (+/-0.005) for {'classifier__C': 45, 'classifier__class_weight': None, 'classifier__gamma': 1.0, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.1603 (+/-0.005) for {'classifier__C': 45, 'classifier__class_weight': None, 'classifier__gamma': 1.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.1603 (+/-0.005) for {'classifier__C': 45, 'classifier__class_weight': None, 'classifier__gamma': 1.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.1603 (+/-0.005) for {'classifier__C': 45, 'classifier__class_weight': None, 'classifier__gamma': 1.0, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.1603 (+/-0.005) for {'classifier__C': 45, 'classifier__class_weight': None, 'classifier__gamma': 1.0, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
