0.1259 (+/-0.000) for {'classifier__C': 10.0, 'classifier__class_weight': None, 'classifier__gamma': 1000.0}
0.4530 (+/-0.029) for {'classifier__C': 10.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1e-05}
0.5201 (+/-0.037) for {'classifier__C': 10.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.0001}
0.6019 (+/-0.035) for {'classifier__C': 10.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.001}
0.7923 (+/-0.016) for {'classifier__C': 10.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.01}
0.7637 (+/-0.029) for {'classifier__C': 10.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1}
0.1664 (+/-0.007) for {'classifier__C': 10.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0}
0.1259 (+/-0.000) for {'classifier__C': 10.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 10.0}
0.1259 (+/-0.000) for {'classifier__C': 10.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 100.0}
0.1259 (+/-0.000) for {'classifier__C': 10.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1000.0}
0.4501 (+/-0.015) for {'classifier__C': 100.0, 'classifier__class_weight': None, 'classifier__gamma': 1e-05}
0.5197 (+/-0.029) for {'classifier__C': 100.0, 'classifier__class_weight': None, 'classifier__gamma': 0.0001}
0.7076 (+/-0.021) for {'classifier__C': 100.0, 'classifier__class_weight': None, 'classifier__gamma': 0.001}
0.8057 (+/-0.030) for {'classifier__C': 100.0, 'classifier__class_weight': None, 'classifier__gamma': 0.01}
0.7508 (+/-0.023) for {'classifier__C': 100.0, 'classifier__class_weight': None, 'classifier__gamma': 0.1}
0.1664 (+/-0.007) for {'classifier__C': 100.0, 'classifier__class_weight': None, 'classifier__gamma': 1.0}
0.1259 (+/-0.000) for {'classifier__C': 100.0, 'classifier__class_weight': None, 'classifier__gamma': 10.0}
0.1259 (+/-0.000) for {'classifier__C': 100.0, 'classifier__class_weight': None, 'classifier__gamma': 100.0}
0.1259 (+/-0.000) for {'classifier__C': 100.0, 'classifier__class_weight': None, 'classifier__gamma': 1000.0}
0.5185 (+/-0.036) for {'classifier__C': 100.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1e-05}
0.5529 (+/-0.036) for {'classifier__C': 100.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.0001}
0.7274 (+/-0.021) for {'classifier__C': 100.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.001}
0.8076 (+/-0.024) for {'classifier__C': 100.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.01}
0.7508 (+/-0.023) for {'classifier__C': 100.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1}
0.1664 (+/-0.007) for {'classifier__C': 100.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0}
0.1259 (+/-0.000) for {'classifier__C': 100.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 10.0}
0.1259 (+/-0.000) for {'classifier__C': 100.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 100.0}
0.1259 (+/-0.000) for {'classifier__C': 100.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1000.0}

Best parameters:
{'classifier__C': 100.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.01}

Best score: 0.8076
