0.1259 (+/-0.000) for {'classifier__C': 100.0, 'classifier__class_weight': None, 'classifier__gamma': 1000.0}
0.5062 (+/-0.030) for {'classifier__C': 100.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1e-05}
0.5382 (+/-0.039) for {'classifier__C': 100.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.0001}
0.7196 (+/-0.023) for {'classifier__C': 100.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.001}
0.7905 (+/-0.038) for {'classifier__C': 100.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.01}
0.7356 (+/-0.033) for {'classifier__C': 100.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1}
0.1572 (+/-0.002) for {'classifier__C': 100.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0}
0.1259 (+/-0.000) for {'classifier__C': 100.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 10.0}
0.1259 (+/-0.000) for {'classifier__C': 100.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 100.0}
0.1259 (+/-0.000) for {'classifier__C': 100.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1000.0}

Best parameters:
{'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1}

Best score: 0.7930
