0.1259 (+/-0.000) for {'classifier__C': 2.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 2.0}
0.1259 (+/-0.000) for {'classifier__C': 2.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 4.0}
0.7855 (+/-0.031) for {'classifier__C': 4.0, 'classifier__class_weight': None, 'classifier__gamma': 0.125}
0.7329 (+/-0.039) for {'classifier__C': 4.0, 'classifier__class_weight': None, 'classifier__gamma': 0.25}
0.4436 (+/-0.018) for {'classifier__C': 4.0, 'classifier__class_weight': None, 'classifier__gamma': 0.5}
0.1664 (+/-0.007) for {'classifier__C': 4.0, 'classifier__class_weight': None, 'classifier__gamma': 1.0}
0.1259 (+/-0.000) for {'classifier__C': 4.0, 'classifier__class_weight': None, 'classifier__gamma': 2.0}
0.1259 (+/-0.000) for {'classifier__C': 4.0, 'classifier__class_weight': None, 'classifier__gamma': 4.0}
0.7816 (+/-0.032) for {'classifier__C': 4.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.125}
0.7322 (+/-0.041) for {'classifier__C': 4.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.25}
0.4436 (+/-0.018) for {'classifier__C': 4.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.5}
0.1664 (+/-0.007) for {'classifier__C': 4.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0}
0.1259 (+/-0.000) for {'classifier__C': 4.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 2.0}
0.1259 (+/-0.000) for {'classifier__C': 4.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 4.0}
0.7726 (+/-0.028) for {'classifier__C': 8.0, 'classifier__class_weight': None, 'classifier__gamma': 0.125}
0.7324 (+/-0.040) for {'classifier__C': 8.0, 'classifier__class_weight': None, 'classifier__gamma': 0.25}
0.4436 (+/-0.018) for {'classifier__C': 8.0, 'classifier__class_weight': None, 'classifier__gamma': 0.5}
0.1664 (+/-0.007) for {'classifier__C': 8.0, 'classifier__class_weight': None, 'classifier__gamma': 1.0}
0.1259 (+/-0.000) for {'classifier__C': 8.0, 'classifier__class_weight': None, 'classifier__gamma': 2.0}
0.1259 (+/-0.000) for {'classifier__C': 8.0, 'classifier__class_weight': None, 'classifier__gamma': 4.0}
0.7700 (+/-0.025) for {'classifier__C': 8.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.125}
0.7324 (+/-0.040) for {'classifier__C': 8.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.25}
0.4436 (+/-0.018) for {'classifier__C': 8.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.5}
0.1664 (+/-0.007) for {'classifier__C': 8.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0}
0.1259 (+/-0.000) for {'classifier__C': 8.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 2.0}
0.1259 (+/-0.000) for {'classifier__C': 8.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 4.0}
0.7621 (+/-0.021) for {'classifier__C': 16.0, 'classifier__class_weight': None, 'classifier__gamma': 0.125}
0.7324 (+/-0.040) for {'classifier__C': 16.0, 'classifier__class_weight': None, 'classifier__gamma': 0.25}
0.4436 (+/-0.018) for {'classifier__C': 16.0, 'classifier__class_weight': None, 'classifier__gamma': 0.5}
0.1664 (+/-0.007) for {'classifier__C': 16.0, 'classifier__class_weight': None, 'classifier__gamma': 1.0}
0.1259 (+/-0.000) for {'classifier__C': 16.0, 'classifier__class_weight': None, 'classifier__gamma': 2.0}
0.1259 (+/-0.000) for {'classifier__C': 16.0, 'classifier__class_weight': None, 'classifier__gamma': 4.0}
0.7635 (+/-0.020) for {'classifier__C': 16.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.125}
0.7324 (+/-0.040) for {'classifier__C': 16.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.25}
0.4436 (+/-0.018) for {'classifier__C': 16.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.5}
0.1664 (+/-0.007) for {'classifier__C': 16.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0}
0.1259 (+/-0.000) for {'classifier__C': 16.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 2.0}
0.1259 (+/-0.000) for {'classifier__C': 16.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 4.0}

Best parameters:
{'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.125}

Best score: 0.8058
