0.7345 (+/-0.027) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 1000, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.7345 (+/-0.027) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 1000, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.7285 (+/-0.032) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.7285 (+/-0.032) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.7275 (+/-0.027) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.7275 (+/-0.027) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.7305 (+/-0.028) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 500, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.7305 (+/-0.028) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 500, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.7326 (+/-0.031) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 500, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.7326 (+/-0.031) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 500, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.7325 (+/-0.021) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 1000, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.7325 (+/-0.021) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 1000, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.7324 (+/-0.031) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 1000, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.7324 (+/-0.031) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 1000, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.7285 (+/-0.032) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.7285 (+/-0.032) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.7275 (+/-0.027) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.7275 (+/-0.027) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.7305 (+/-0.028) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 500, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.7305 (+/-0.028) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 500, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.7326 (+/-0.031) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 500, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.7326 (+/-0.031) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 500, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.7325 (+/-0.021) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 1000, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.7325 (+/-0.021) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 1000, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.7324 (+/-0.031) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 1000, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.7324 (+/-0.031) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 1000, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.7308 (+/-0.022) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.7308 (+/-0.022) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.7286 (+/-0.025) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.7286 (+/-0.025) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.7315 (+/-0.030) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 500, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.7315 (+/-0.030) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 500, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.7294 (+/-0.029) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 500, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.7294 (+/-0.029) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 500, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.7299 (+/-0.029) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 1000, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.7299 (+/-0.029) for {'classifier__max_depth': 10, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 1000, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
